ID XTEC;NOM PROFESSOR;COGNOMS PROFESSOR;CORREU PROFESSOR;CODI CENTRE
1;Jaume;Primer;jprimer@xtec.cat;25008443
2;Aleix;Vilaseca;avilaseca@xtec.cat;25008443
3;Xavier;Romeu;xromeu@xtec.cat;25008443
4;Oscar;Suspes;osuspes@xtec.cat;25008443
5;Eric;Casadell;ecasadell@xtec.cat;25008443
6;Tomeu;Vilalta;tvilalta@xtec.cat;43009497
7;Bernat;Casamajor;bcasamajor@xtec.cat;43009497
8;Miquel;Tartera;mtartera@xtec.cat;43009497
9;Irene;Gatell;igatell@xtec.cat;43009497
10;Núria;Martell;nmartell@xtec.cat;43009497
